latitude,longitude
20.23008,-155.818
19.13375,-155.51127
19.570461972004708,-155.1081906
19.67461,-155.98269
19.927877756569924,-155.7868366
19.58695,-155.06979
19.73367,-155.01422
20.99168,-156.6662
19.61603,-155.98455
21.66811,-158.04778
20.92291,-156.69091
20.7504507,-156.4558296
20.7486,-156.45649
21.7011152,-157.995321
19.58144,-155.96637
20.78261427411747,-156.4636391
21.26014,-157.79008
20.9254948,-156.6907004
21.95794,-159.34501
21.384778647269446,-157.7106687
20.74742,-156.45666
21.27298,-157.77761
20.746724,-156.45645
20.72692,-156.44708
19.63114,-155.98807
21.87419,-159.44347
20.755877,-156.45778
20.712506,-156.445259
19.570776519616953,-155.9631442
22.20893,-159.49747
20.7650967,-156.4579572
20.961374,-156.68349
21.88153,-159.45049
21.87719,-159.45846
19.62115,-155.98641
22.06223,-159.32003
20.76277,-156.45792
20.920872199308977,-156.6939525
22.035847,-159.336807
19.62477,-155.98391
20.934453247484747,-156.6866117
20.9212,-156.69448
20.707024197716017,-156.4455765
22.035889,-159.336807
19.57091,-155.96369
21.870701499921047,-159.443328
20.92383,-156.695
20.91419,-156.69331
20.917978,-156.6955
21.27303,-157.81558
20.95537,-156.68467
22.05579,-159.32698
22.218084,-159.484436
21.34505,-158.12692
21.876996,-159.457606
20.938536794358857,-156.6917959
20.95174,-156.68884
19.62168,-155.98556
20.720286,-156.445023
20.91636,-156.69639
19.62044,-155.98507
20.75723,-156.45704
21.87844,-159.45945
20.9167573,-156.6952138
22.05983,-159.32138
21.28493,-157.82899
21.87554,-159.45839
22.048535617228293,-159.3377955
21.30847,-157.86004
20.922976030903744,-156.6945042
20.72624,-156.44736
21.87306,-159.44489
20.72512,-156.44508
20.962263107299805,-156.6833801
20.71647,-156.44453
20.71859,-156.4469
21.28614,-157.82839
19.57087,-155.96484
19.57322,-155.96614
19.57038,-155.96293
20.756706,-156.458255
21.2993,-157.82318
20.758366204801213,-156.4577076
20.96542,-156.68247
20.72114,-156.446324
20.93929,-156.6923
21.28622,-157.84029
22.216906271788005,-159.4851843
20.93498,-156.69233
20.76124,-156.45772
20.690444946289062,-156.436264
19.62534,-155.98426
21.25890357355659,-157.7986682
20.71972,-156.44761
22.03549,-159.338
21.27511,-157.821014
21.277431,-157.822052
21.2809674,-157.8256348
20.94789,-156.69147
22.22286,-159.47004
21.27974,-157.82999
20.97164,-156.68045
20.94768,-156.69105
20.94232,-156.690491
22.22049172412742,-159.4722227
22.05201,-159.32863
22.22222820028682,-159.4673852
21.2719,-157.82174
21.28023,-157.827316
21.28519,-157.83794
22.220840941666395,-159.4689795
21.284111,-157.8373602
21.28171,-157.83733
20.94501,-156.69085
22.22551,-159.4899
22.223847,-159.4819689
21.271849,-157.821584
22.0523613,-159.3294429
21.33164,-158.12122
22.22271,-159.47788
21.26165,-157.82131
21.87446,-159.44241
20.97553,-156.67707
19.61323,-155.97801
21.33633,-158.05594
20.7183,-156.4473
19.61997,-155.98619
21.38987,-157.71468
20.71468,-156.44337
21.27088,-157.82196
20.68925,-156.4371
20.75661,-156.45715
21.34116,-158.11905
21.285517,-157.83955
22.05569,-159.32584
21.27541,-157.8206
21.28457,-157.83879
21.272438049316406,-157.8225555
22.0528,-159.33123
22.05307,-159.32962
20.76555,-156.44411
21.28557,-157.84023
21.32818,-158.12223
21.87487,-159.45701
19.57052,-155.96327
19.63242,-155.98873
21.26432,-157.82034
20.93973,-156.69017
20.96882,-156.68041
22.21739,-159.47288
21.28573,-157.83835
20.8671,-156.34004
21.87637,-159.45979
20.78647,-156.46629
21.28475,-157.83767
22.00985,-159.34159
19.9118,-155.77569
20.94301,-156.68939
21.33027,-158.12226
20.94402601178043,-156.6903095
20.73974,-156.45509
19.61931,-155.98427
21.9623,-159.35103
21.28242,-157.82904
22.21781,-159.48539
20.91586,-156.69477
21.292595123025308,-157.8296167
20.722090927248914,-156.4473297
22.21849219422227,-159.4853723
21.2743201,-157.8202324
19.558464,-155.961962
21.3292687,-158.1212627
22.22668,-159.47839
19.72191370415276,-155.0884521
21.2875788,-157.8386869
21.27545,-157.81988
21.2794623,-157.8254411
22.011428974792143,-159.3400363
19.52016,-154.99427
20.942242339204498,-156.6908097
20.72317,-156.4428
21.48242,-158.20404
19.09343,-155.74645
20.723868293148847,-156.4433173
20.94025,-156.69035
22.22222394803571,-159.4782432
22.055488379096175,-159.3287099
21.27235,-157.82064
20.9486233,-156.6904919
21.27699,-157.82096
22.221882814090424,-159.4770129
21.2747247,-157.820931
21.29245,-157.83518
21.28801,-157.83375
21.09198589,-157.0204941
21.27475,-157.82253
20.97172,-156.67992
21.28164968,-157.8286207
21.08171880107739,-157.0045398
20.97201,-156.67936
20.709805779106965,-156.4441541
20.7088844,-156.443329
19.20342,-155.47802
21.28023,-157.82623
21.28171,-157.82681
21.28511,-157.83947
21.28869,-157.8333
21.28564,-157.83713
21.28429442737192,-157.8330838
22.05566342591084,-159.3267365
21.28559,-157.8306
21.27663,-157.82415
21.284374,-157.83844
21.2799611,-157.8258444
21.28369,-157.83755
21.28332,-157.83882
21.87535,-159.44691
21.2843,-157.83602
22.22427,-159.48292
21.87677,-159.44682
21.27976,-157.8311
21.27979276735919,-157.8285115
21.28456,-157.83754
21.278607180837106,-157.8224955
21.8741,-159.4514
22.22134,-159.46901
20.715434,-156.444466
22.22081,-159.4704
21.27865,-157.82318
19.202187,-155.481537
21.28526,-157.8378
20.94749,-156.69021
22.22299707693821,-159.4828455
21.27999401327177,-157.8268654
22.226246,-159.484894
21.28347,-157.8392
20.9507,-156.68944
21.28026,-157.82398
20.97176,-156.68056
21.2869649,-157.8327139
